Voltage_measured,Current_measured,Temperature_measured,Current_load,Voltage_load,cycle_idx
4.181907184700754,8.490077121640986e-05,26.429257363552026,0.0,0.0,1
4.181887040680736,-0.0001818694448337,26.432188565784696,0.0,4.197,1
3.9428213024860574,-1.9969349193365225,26.44810286642135,1.9992,2.887,1
4.166703737398073,0.0008994269322789,26.507286992530936,0.0002,4.181,1
3.9309811858418446,-1.9984702709786049,26.55508215231076,1.9992,2.881,1
4.157488541774103,-0.0071856633435542,26.61121653749554,0.0002,4.172,1
3.922365620399618,-2.00098908058813,26.65126401444349,1.9992,2.864,1
4.150426170868273,0.0010840213118559,26.714581422527377,0.0002,4.165,1
3.915626407307221,-1.99923514684558,26.7554199849314,1.9992,2.853,1
4.144660427222052,-0.0013711705145975,26.803589604853173,0.0002,4.159,1
3.909775734327062,-1.9979915892892195,26.84531204378979,1.9992,2.845,1
4.139267476191107,-0.0017585238155412,26.89903163114522,0.0002,4.154,1
3.904720271888906,-1.996889017479124,26.92643624115304,1.999,2.841,1
4.134803059887075,-0.0005423036037634,26.98041677348625,0.0004,4.149,1
3.900275571575512,-1.9987873855637035,27.01911777376392,1.9992,2.836,1
4.130657212263896,-0.0029589929457636,27.05428984348232,0.0002,4.145,1
3.896119403929829,-1.9980177845377751,27.09007783495032,1.9992,2.833,1
4.1267120172824505,-0.0018349757241203,27.128310761317,0.0002,4.141,1
3.892219105920795,-1.997568132807613,27.16433111579584,1.9992,2.83,1
4.122972917799874,-0.0006874040180145,27.19817867879443,0.0002,4.137,1
3.8886549006638993,-1.998385896559579,27.23069713462469,1.9992,2.829,1
4.119206553987912,-0.0017523945334865,27.27617041457827,0.0002,4.133,1
3.8851934516265416,-1.9960604783057432,27.304219699378887,1.9992,2.827,1
4.1158031405994295,-0.0008886146970177,27.35050526871371,0.0002,4.13,1
3.8819037460758334,-1.9970054993071429,27.36882424717047,1.999,2.825,1
4.1125115693487055,0.0006191618416437,27.41707838307644,0.0004,4.126,1
3.8785861527964696,-1.9965456825285577,27.431727323246008,1.9992,2.821,1
4.1090867293126365,-0.0039953811191222,27.46968533119428,0.0002,4.123,1
3.8756248865739473,-1.9961489334552187,27.49744249199548,1.9992,2.818,1
4.105837275825701,-0.0020937689255858,27.53568873995047,0.0002,4.12,1
3.8724745503430578,-1.997269388275356,27.55758767698672,1.9992,2.815,1
4.102661278365433,-0.0007478230387306,27.596080004433865,0.0004,4.117,1
3.869458536820263,-1.9974269288994653,27.61925693494761,1.9992,2.811,1
4.0995451461755845,-0.0028648934963091,27.65389928161648,0.0002,4.113,1
3.866500437949159,-1.998316235770828,27.67709109013469,1.9992,2.808,1
4.096231195132347,-0.0015160441000254,27.72529969912684,0.0004,4.111,1
3.863602608717148,-1.996138711957272,27.736807065427847,1.9992,2.805,1
4.093081722443089,-0.0002855382398685,27.773536312307087,0.0002,4.108,1
3.860744713507218,-1.9987186111333324,27.79780360544176,1.9992,2.803,1
4.090071748600819,0.0012705462808157,27.833201425810888,0.0002,4.105,1
