row_idx,file_index,trigger_cols,max_abs_z,any_z
22680,165,['Voltage_load'],14.713851986828514,[14.713851986828514]
22684,165,['Voltage_load'],104.37647197593347,[104.37647197593347]
47197,349,['Voltage_load'],45.95910097479798,[45.95910097479798]
96240,717,['Voltage_load'],115.14535188295277,[115.14535188295277]
123872,1013,['Voltage_load'],8.030166409191674,[8.030166409191674]
124041,1015,['Voltage_load'],8.316583648220691,[8.316583648220691]
124225,1017,['Voltage_load'],8.316583648220691,[8.316583648220691]
124406,1019,['Voltage_load'],8.316583648220691,[8.316583648220691]
124585,1021,['Voltage_load'],8.31374783397288,[8.31374783397288]
124762,1025,['Voltage_load'],8.282553877246947,[8.282553877246947]
124937,1027,['Voltage_load'],8.316583648220691,[8.316583648220691]
125111,1029,['Voltage_load'],8.316583648220691,[8.316583648220691]
125283,1031,['Voltage_load'],8.31374783397288,[8.31374783397288]
125453,1033,['Voltage_load'],8.31374783397288,[8.31374783397288]
125621,1037,['Voltage_load'],8.293897134238193,[8.293897134238193]
125789,1039,['Voltage_load'],8.31374783397288,[8.31374783397288]
125956,1041,['Voltage_load'],8.31374783397288,[8.31374783397288]
126121,1043,['Voltage_load'],8.31374783397288,[8.31374783397288]
126284,1045,['Voltage_load'],8.31374783397288,[8.31374783397288]
126446,1049,['Voltage_load'],8.276882248751324,[8.276882248751324]
126609,1051,['Voltage_load'],8.31374783397288,[8.31374783397288]
126772,1053,['Voltage_load'],8.31374783397288,[8.31374783397288]
126933,1055,['Voltage_load'],8.31374783397288,[8.31374783397288]
127092,1057,['Voltage_load'],8.31374783397288,[8.31374783397288]
127250,1061,['Voltage_load'],8.293897134238193,[8.293897134238193]
127408,1063,['Voltage_load'],8.31374783397288,[8.31374783397288]
127565,1065,['Voltage_load'],8.31374783397288,[8.31374783397288]
127720,1067,['Voltage_load'],8.31374783397288,[8.31374783397288]
127874,1069,['Voltage_load'],8.31374783397288,[8.31374783397288]
128027,1073,['Voltage_load'],8.291061319990384,[8.291061319990384]
128181,1075,['Voltage_load'],8.31374783397288,[8.31374783397288]
128333,1077,['Voltage_load'],8.31374783397288,[8.31374783397288]
128484,1079,['Voltage_load'],8.31374783397288,[8.31374783397288]
128633,1081,['Voltage_load'],8.31374783397288,[8.31374783397288]
128781,1085,['Voltage_load'],8.29956876273382,[8.29956876273382]
128929,1087,['Voltage_load'],8.31374783397288,[8.31374783397288]
129076,1089,['Voltage_load'],8.31374783397288,[8.31374783397288]
129222,1091,['Voltage_load'],8.31374783397288,[8.31374783397288]
129367,1093,['Voltage_load'],8.31374783397288,[8.31374783397288]
129511,1097,['Voltage_load'],8.296732948486007,[8.296732948486007]
129656,1099,['Voltage_load'],8.31374783397288,[8.31374783397288]
129800,1101,['Voltage_load'],8.31374783397288,[8.31374783397288]
129942,1103,['Voltage_load'],8.31374783397288,[8.31374783397288]
130083,1105,['Voltage_load'],8.31374783397288,[8.31374783397288]
170625,1354,['Voltage_load'],7.030126810847471,[7.030126810847471]
170794,1356,['Voltage_load'],7.237268902697802,[7.237268902697802]
170978,1358,['Voltage_load'],7.23464685090223,[7.23464685090223]
171159,1360,['Voltage_load'],7.237268902697802,[7.237268902697802]
171338,1362,['Voltage_load'],7.237268902697802,[7.237268902697802]
171515,1366,['Voltage_load'],7.208426332946492,[7.208426332946492]
171690,1368,['Voltage_load'],7.237268902697802,[7.237268902697802]
171864,1370,['Voltage_load'],7.237268902697802,[7.237268902697802]
172036,1372,['Voltage_load'],7.237268902697802,[7.237268902697802]
172206,1374,['Voltage_load'],7.237268902697802,[7.237268902697802]
172374,1378,['Voltage_load'],7.216292488333211,[7.216292488333211]
172542,1380,['Voltage_load'],7.23464685090223,[7.23464685090223]
172709,1382,['Voltage_load'],7.23464685090223,[7.23464685090223]
172874,1384,['Voltage_load'],7.2320247991066555,[7.2320247991066555]
173037,1386,['Voltage_load'],7.2320247991066555,[7.2320247991066555]
173199,1390,['Voltage_load'],7.197938125764196,[7.197938125764196]
173362,1392,['Voltage_load'],7.237268902697802,[7.237268902697802]
173525,1394,['Voltage_load'],7.237268902697802,[7.237268902697802]
173686,1396,['Voltage_load'],7.23464685090223,[7.23464685090223]
173845,1398,['Voltage_load'],7.23464685090223,[7.23464685090223]
174003,1402,['Voltage_load'],7.218914540128786,[7.218914540128786]
174161,1404,['Voltage_load'],7.23464685090223,[7.23464685090223]
174318,1406,['Voltage_load'],7.23464685090223,[7.23464685090223]
174473,1408,['Voltage_load'],7.2320247991066555,[7.2320247991066555]
174627,1410,['Voltage_load'],7.23464685090223,[7.23464685090223]
174780,1414,['Voltage_load'],7.216292488333211,[7.216292488333211]
174934,1416,['Voltage_load'],7.23464685090223,[7.23464685090223]
175086,1418,['Voltage_load'],7.23464685090223,[7.23464685090223]
175237,1420,['Voltage_load'],7.23464685090223,[7.23464685090223]
175386,1422,['Voltage_load'],7.23464685090223,[7.23464685090223]
175534,1426,['Voltage_load'],7.2215365919243615,[7.2215365919243615]
175682,1428,['Voltage_load'],7.23464685090223,[7.23464685090223]
175829,1430,['Voltage_load'],7.2320247991066555,[7.2320247991066555]
175975,1432,['Voltage_load'],7.2320247991066555,[7.2320247991066555]
176120,1434,['Voltage_load'],7.23464685090223,[7.23464685090223]
176264,1438,['Voltage_load'],7.218914540128786,[7.218914540128786]
176409,1440,['Voltage_load'],7.2320247991066555,[7.2320247991066555]
176553,1442,['Voltage_load'],7.2320247991066555,[7.2320247991066555]
176695,1444,['Voltage_load'],7.23464685090223,[7.23464685090223]
176836,1446,['Voltage_load'],7.23464685090223,[7.23464685090223]
395442,3514,['Voltage_load'],8.653157105374913,[-8.653157105374913]
395632,3518,['Voltage_load'],8.653157105374913,[-8.653157105374913]
395970,3520,['Voltage_load'],8.653157105374913,[-8.653157105374913]
396307,3522,['Voltage_load'],8.653157105374913,[-8.653157105374913]
396642,3524,['Voltage_load'],8.653157105374913,[-8.653157105374913]
396974,3526,['Voltage_load'],8.653157105374913,[-8.653157105374913]
397303,3530,['Voltage_load'],8.653157105374913,[-8.653157105374913]
397629,3532,['Voltage_load'],8.653157105374913,[-8.653157105374913]
397954,3534,['Voltage_load'],8.653157105374913,[-8.653157105374913]
398277,3536,['Voltage_load'],8.653157105374913,[-8.653157105374913]
398598,3538,['Voltage_load'],8.653157105374913,[-8.653157105374913]
398917,3542,['Voltage_load'],8.653157105374913,[-8.653157105374913]
399234,3544,['Voltage_load'],8.653157105374913,[-8.653157105374913]
399549,3546,['Voltage_load'],8.653157105374913,[-8.653157105374913]
399862,3548,['Voltage_load'],8.653157105374913,[-8.653157105374913]
400173,3550,['Voltage_load'],8.653157105374913,[-8.653157105374913]
400483,3554,['Voltage_load'],8.653157105374913,[-8.653157105374913]
400792,3556,['Voltage_load'],8.653157105374913,[-8.653157105374913]
401101,3558,['Voltage_load'],8.653157105374913,[-8.653157105374913]
401407,3560,['Voltage_load'],8.653157105374913,[-8.653157105374913]
401710,3562,['Voltage_load'],8.653157105374913,[-8.653157105374913]
402011,3566,['Voltage_load'],8.653157105374913,[-8.653157105374913]
402312,3570,['Voltage_load'],8.653157105374913,[-8.653157105374913]
402614,3572,['Voltage_load'],8.653157105374913,[-8.653157105374913]
402914,3574,['Voltage_load'],8.653157105374913,[-8.653157105374913]
403212,3576,['Voltage_load'],8.653157105374913,[-8.653157105374913]
403508,3578,['Voltage_load'],8.653157105374913,[-8.653157105374913]
403802,3582,['Voltage_load'],8.653157105374913,[-8.653157105374913]
404095,3584,['Voltage_load'],8.653157105374913,[-8.653157105374913]
404386,3586,['Voltage_load'],8.653157105374913,[-8.653157105374913]
404676,3588,['Voltage_load'],8.653157105374913,[-8.653157105374913]
404964,3590,['Voltage_load'],8.653157105374913,[-8.653157105374913]
405250,3594,['Voltage_load'],8.653157105374913,[-8.653157105374913]
405535,3596,['Voltage_load'],8.653157105374913,[-8.653157105374913]
405819,3598,['Voltage_load'],8.653157105374913,[-8.653157105374913]
406101,3600,['Voltage_load'],8.653157105374913,[-8.653157105374913]
406382,3602,['Voltage_load'],8.653157105374913,[-8.653157105374913]
406661,3606,['Voltage_load'],8.653157105374913,[-8.653157105374913]
406941,3608,['Voltage_load'],8.653157105374913,[-8.653157105374913]
407220,3610,['Voltage_load'],8.653157105374913,[-8.653157105374913]
407497,3612,['Voltage_load'],8.653157105374913,[-8.653157105374913]
407772,3614,['Voltage_load'],8.653157105374913,[-8.653157105374913]
408045,3618,['Voltage_load'],8.653157105374913,[-8.653157105374913]
408319,3622,['Voltage_load'],8.653157105374913,[-8.653157105374913]
408594,3624,['Voltage_load'],8.653157105374913,[-8.653157105374913]
408868,3626,['Voltage_load'],8.653157105374913,[-8.653157105374913]
409176,3630,['Voltage_load'],8.653157105374913,[-8.653157105374913]
